formula,en,Tc,hf,mass,Ref.
MgSc3H12,1.9869,12,0.75,13.1591,doi.org/10.1021/acs.jpcc.1c08743
MgSc3H12,1.9869,2.61,0.75,13.1591,doi.org/10.1021/acs.jpcc.1c08743
MgScH6,1.9838,41,0.75,11.4519,doi.org/10.1021/acs.jpcc.1c08743
MgScH6,1.9838,23.34,0.75,11.4519,doi.org/10.1021/acs.jpcc.1c08743
MgSiH6,2.0513,63,0.75,8.6624,doi.org/10.1103/PhysRevB.96.144518
MgSiH6,2.0513,58,0.75,8.6624,doi.org/10.1103/PhysRevB.96.144518
MgSiH6,2.0513,53,0.75,8.6624,doi.org/10.1103/PhysRevB.96.144518
MgVH6,2.0175,88.55,0.75,12.4416,doi.org/10.1016/j.physb.2023.414978
MgVH6,2.0175,45.55,0.75,12.4416,doi.org/10.1016/j.physb.2023.414978
MgVH6,2.0175,29.53,0.75,12.4416,doi.org/10.1016/j.physb.2023.414978
MgVH6,2.0175,27.6,0.75,12.4416,doi.org/10.1021/acs.jpcc.0c09447
MgVH6,2.0175,24.22,0.75,12.4416,doi.org/10.1016/j.physb.2023.414978
MgVH6,2.0175,22.11,0.75,12.4416,doi.org/10.1016/j.physb.2023.414978
Mo2B2H,2.12,21.54,0.2,211.8254,doi.org/10.1103/PhysRevMaterials.7.114802
Mo3N3H,2.5429,2,0.1429,327.253,doi.org/10.1103/PhysRevLett.132.166001
MoSH,2.3133,28.58,0.3333,126.994,doi.org/10.1103/PhysRevB.105.245420
MoSH,2.3133,12.6,0.3333,126.994,doi.org/10.1088/2053-1583/ad2523
Na2AgH6,1.8878,46.1,0.6667,25.4382,doi.org/10.1002/adfm.202404043
Na2AuH4,1.8857,43.8,0.5714,60.2555,doi.org/10.1002/adfm.202404043
Na2AuH6,1.9556,31.6,0.6667,40.1703,doi.org/10.1002/adfm.202404043
Na2B2H,1.628,42.4,0.2,67.0635,doi.org/10.1016/j.physleta.2024.129663
Na2CuH6,1.8844,29.4,0.6667,18.1095,doi.org/10.1002/adfm.202404043
Na3Pd2H9,1.9279,25.3,0.6429,31.0637,doi.org/10.1002/adfm.202404043
NaAlH8,2.014,39,0.8,6.1969,doi.org/10.1103/PhysRevB.104.104509
NaAlH8,2.014,45,0.8,6.1969,doi.org/10.1103/PhysRevB.104.104509
NaAlH8,2.014,55,0.8,6.1969,doi.org/10.1103/PhysRevB.104.104509
NaB3H3,1.95,47.8,0.4286,18.3267,doi.org/10.1103/PhysRevB.106.174104
NaBH3,1.914,86.8,0.6,11.1772,doi.org/10.1103/PhysRevB.106.174104
NaC2H8,2.1482,6.1,0.7273,5.8299,doi.org/10.1016/j.mtphys.2024.101443
NaC2H8,2.1482,17.9,0.7273,5.8299,doi.org/10.1016/j.mtphys.2024.101443
NaC2H8,2.1482,30,0.7273,5.8299,doi.org/10.1103/PhysRevB.105.104511
NaC2H8,2.1482,24.6,0.7273,5.8299,doi.org/10.1016/j.mtphys.2024.101443
NaP2H14,2.1241,159,0.8235,6.0188,doi.org/10.1021/acs.jpclett.9b03856
NaPdH3,1.946,29.3,0.6,42.7943,doi.org/10.1002/adfm.202404043
NaPH6,2.04,110.5,0.75,8.9226,doi.org/10.1103/PhysRevB.107.214511
NaPH6,2.04,83.2,0.75,8.9226,doi.org/10.1103/PhysRevB.107.214511
NaPH6,2.04,118.8,0.75,8.9226,doi.org/10.1103/PhysRevB.107.214511
NaPH6,2.04,96.3,0.75,8.9226,doi.org/10.1103/PhysRevB.107.214511
NaPH6,2.04,196.1,0.75,8.9226,doi.org/10.1103/PhysRevB.107.214511
NaPH6,2.04,201.4,0.75,8.9226,doi.org/10.1103/PhysRevB.107.214511
NaPH6,2.04,95.9,0.75,8.9226,doi.org/10.1103/PhysRevB.107.214511
NaPH6,2.04,145.2,0.75,8.9226,doi.org/10.1103/PhysRevB.107.214511
NaPH6,2.04,85.1,0.75,8.9226,doi.org/10.1103/PhysRevB.107.214511
NaPH8,2.072,55.9,0.8,6.692,doi.org/10.1103/PhysRevB.107.214511
NaPH8,2.072,67.8,0.8,6.692,doi.org/10.1103/PhysRevB.107.214511
NaS7H24,1.9341,191,0.75,7.9774,doi.org/10.1103/PhysRevResearch.3.043102
NaS7H24,1.9341,152,0.75,7.9774,doi.org/10.1103/PhysRevResearch.3.043102
NaSbH6,2.0225,94,0.75,23.9335,doi.org/10.1016/j.mtphys.2023.101086
NaSbH6,2.0225,65,0.75,23.9335,doi.org/10.1016/j.mtphys.2023.101086
NbSH,2.1267,6.1,0.3333,123.9742,doi.org/10.3390/molecules28145522
NdSiH7,2.0489,65.9,0.7778,24.4225,doi.org/10.1103/PhysRevB.110.024513
NSiH11,2.2415,110,0.8462,3.7963,doi.org/10.1016/j.ssc.2021.114260
O3Nb3H,2.4743,9,0.1429,324.122,doi.org/10.1103/PhysRevLett.132.166001
Os3TaH,2.06,6,0.2,745.6746,doi.org/10.1103/PhysRevLett.132.166001
P5S3H24,2.2341,116,0.75,10.3774,doi.org/10.1016/j.physc.2018.09.004
P5S3H24,2.2341,57,0.75,10.3774,doi.org/10.1016/j.physc.2018.09.004
Pb2InH12,2.1893,70,0.8,43.7517,doi.org/10.1007/s10853-023-08264-2
Pb2SbH12,2.2073,66,0.8,44.3254,doi.org/10.1007/s10853-023-08264-2
Pb2SnH12,2.2013,69,0.8,44.0732,doi.org/10.1007/s10853-023-08264-2
PbC2H8,2.2755,42.6,0.7273,28.6734,doi.org/10.1038/s41524-024-01490-5
PbC2H8,2.2755,53.6,0.7273,28.6734,doi.org/10.1038/s41524-024-01490-5
PbHf3H,1.686,9,0.2,736.7758,doi.org/10.1103/PhysRevLett.132.166001
PbHgH3,2.186,25.8,0.6,134.8512,doi.org/10.1002/adfm.202404043
PbOsH3,2.226,23.2,0.6,131.4253,doi.org/10.1002/adfm.202404043
Pd3MgH,2.022,7,0.2,340.8383,doi.org/10.1103/PhysRevLett.132.166001
PdCuH2,2.125,45,0.5,84.3085,doi.org/10.1063/5.0076728
PdKH3,1.924,65,0.6,48.121,doi.org/10.1103/PhysRevLett.132.166001
PdNaH3,1.946,0.639,0.6,42.7943,doi.org/10.1103/PhysRevLett.132.166001
PoC2H8,2.2455,23.1,0.7273,28.8966,doi.org/10.1038/s41524-024-01490-5
PoC2H8,2.2455,59.7,0.7273,28.8966,doi.org/10.1038/s41524-024-01490-5
PrBeH8,2.03,11,0.8,18.5915,doi.org/10.1088/1361-648X/ac9bba
PrSiH7,2.0478,63.9,0.7778,23.9505,doi.org/10.1103/PhysRevB.110.024513
PS15H45,2.2038,262,0.7377,10.9495,doi.org/10.1103/PhysRevResearch.3.043102
PS15H45,2.2038,244,0.7377,10.9495,doi.org/10.1103/PhysRevResearch.3.043102
PS7H24,2.2828,190,0.75,10.557,doi.org/10.1016/j.physc.2018.09.004
PS7H24,2.2097,238,0.75,10.2876,doi.org/10.1103/PhysRevResearch.3.043102
PS7H24,2.2828,146,0.75,10.557,doi.org/10.1016/j.physc.2018.09.004
PS7H24,2.2097,224,0.75,10.2876,doi.org/10.1103/PhysRevResearch.3.043102
PSH6,2.2463,146.53,0.75,10.4223,doi.org/10.1007/s11467-022-1227-5
PSH6,2.2463,136.88,0.75,10.4223,doi.org/10.1007/s11467-022-1227-5
PSH6,2.2463,157,0.75,10.4223,doi.org/10.1016/j.physc.2018.09.004
PSH6,2.2463,112.13,0.75,10.4223,doi.org/10.1007/s11467-022-1227-5
PSH6,2.2463,106,0.75,10.4223,doi.org/10.1016/j.physc.2018.09.004
PtKH3,1.94,25,0.6,77.4398,doi.org/10.1103/PhysRevLett.132.166001
Rb2MgH16,2.0079,130,0.8421,12.1057,doi.org/10.1103/PhysRevMaterials.6.034801
Rb2MgH18,2.0262,278,0.8571,10.7606,doi.org/10.1039/D3TC02427J
Rb2MgH18,2.0262,278,0.8571,10.7606,doi.org/10.1039/D3TC02427J
Rb2MgH18,2.0262,262,0.8571,10.7606,doi.org/10.1039/D3TC02427J
RbAlH3,1.806,86,0.6,37.1858,doi.org/10.1002/advs.202408370
RbB2H8,2.0455,100,0.7273,13.2798,doi.org/10.1103/PhysRevB.105.224107
RbB2H8,2.0455,133.9,0.7273,13.2798,doi.org/10.1016/j.mtphys.2024.101443
RbB2H8,2.0455,105,0.7273,13.2798,doi.org/10.1103/PhysRevB.105.224107
RbB2H8,2.0455,89.1,0.7273,13.2798,doi.org/10.1016/j.mtphys.2024.101443
RbB2H8,2.0455,70,0.7273,13.2798,doi.org/10.1103/PhysRevB.105.224107
RbB2H8,2.0455,73.6,0.7273,13.2798,doi.org/10.1016/j.mtphys.2024.101443
RbB2H8,2.0455,60,0.7273,13.2798,doi.org/10.1103/PhysRevB.105.224107
RbB2H8,2.0455,79.9,0.7273,13.2798,doi.org/10.1016/j.mtphys.2024.101443
RbB2H8,2.0455,110.3,0.7273,13.2798,doi.org/10.1016/j.mtphys.2024.101443
RbC2H8,2.1382,2.5,0.7273,13.5776,doi.org/10.1016/j.mtphys.2024.101443
RbC2H8,2.1382,3.29,0.7273,13.5776,doi.org/10.1088/1674-1056/ad7c31
RbC2H8,2.1382,4.9,0.7273,13.5776,doi.org/10.1016/j.mtphys.2024.101443
RbC2H8,2.1382,27.2,0.7273,13.5776,doi.org/10.1016/j.mtphys.2024.101443
RbC2H8,2.1382,6,0.7273,13.5776,doi.org/10.1016/j.mtphys.2024.101443
RbGaH3,1.846,127,0.6,51.3198,doi.org/10.1002/advs.202408370
RbInH3,1.84,130,0.6,66.2328,doi.org/10.1002/advs.202408370
RbSH3,2,52.8,0.6,38.8651,doi.org/10.1016/j.cjph.2024.02.025
RbSH3,2,29.1,0.6,38.8651,doi.org/10.1016/j.cjph.2024.02.025
RbTlH3,1.808,170,0.6,95.8492,doi.org/10.1002/advs.202408370
RbTlH3,1.808,132,0.6,95.8492,doi.org/10.1002/advs.202408370
RbTlH3,1.808,81,0.6,95.8492,doi.org/10.1002/advs.202408370
Rh3AlH,2.13,4,0.2,333.0476,doi.org/10.1103/PhysRevLett.132.166001
S2BrH9,2.3267,67,0.75,15.8757,doi.org/10.1007/s11433-023-2185-1
S2ClH9,2.3433,63,0.75,10.9755,doi.org/10.1007/s11433-023-2185-1
S2FH9,2.4117,2,0.75,9.1623,doi.org/10.1007/s11433-023-2185-1
S2FH9,2.4117,104,0.75,9.1623,doi.org/10.1007/s11433-023-2185-1
S2PH,2.3875,21,0.25,94.3393,doi.org/10.1021/acs.jpcc.1c10976
S3C2H4,2.4044,47,0.4444,29.812,doi.org/10.1103/PhysRevB.105.L020510
S3PH,2.426,8.7,0.2,126.1448,doi.org/10.1021/acs.jpcc.1c10976
S3PH12,2.2706,27.3,0.75,10.5121,doi.org/10.1021/acs.jpcc.1c10976
S3PH12,2.2706,92.6,0.75,10.5121,doi.org/10.1021/acs.jpcc.1c10976
S3PH12,2.2706,33,0.75,10.5121,doi.org/10.1016/j.commatsci.2021.110282
S3PH12,2.2706,33.8,0.75,10.5121,doi.org/10.1016/j.commatsci.2021.110282
S3PH12,2.2706,39,0.75,10.5121,doi.org/10.1016/j.commatsci.2021.110282
S3Se2H15,2.292,84,0.75,16.807,doi.org/10.1103/PhysRevB.99.060102
S4PH15,2.2755,145.9,0.75,10.53,doi.org/10.1021/acs.jpcc.1c10976
S4PH15,2.2755,171.6,0.75,10.53,doi.org/10.1021/acs.jpcc.1c10976
S7PH24,2.2828,59.4,0.75,10.557,doi.org/10.1021/acs.jpcc.1c10976
S7PH24,2.2828,147.6,0.75,10.557,doi.org/10.1021/acs.jpcc.1c10976
S7PH24,2.2828,257.5,0.75,10.557,doi.org/10.1021/acs.jpcc.1c10976
SArH3,2.476,48.7,0.6,23.8122,doi.org/10.1016/j.jallcom.2024.173911
SArH3,2.476,68,0.6,23.8122,doi.org/10.1016/j.jallcom.2024.173911
SAsH6,2.245,107,0.75,17.6888,doi.org/10.1039/D4CP04217D
SbC2H8,2.25,39.1,0.7273,18.0781,doi.org/10.1038/s41524-024-01490-5
SbC2H8,2.25,73,0.7273,18.0781,doi.org/10.1038/s41524-024-01490-5
SBH7,2.2244,109,0.7778,6.0757,doi.org/10.1021/acs.jpcc.3c05265
SBH7,2.2244,133.3,0.7778,6.0757,doi.org/10.1021/acs.jpcc.3c05265
SBH7,2.2244,98.7,0.7778,6.0757,doi.org/10.1021/acs.jpcc.3c05265
SBH7,2.2244,120.5,0.7778,6.0757,doi.org/10.1021/acs.jpcc.3c05265
SBH7,2.2244,116.8,0.7778,6.0757,doi.org/10.1021/acs.jpcc.3c05265
SBH7,2.2244,121.2,0.7778,6.0757,doi.org/10.1021/acs.jpcc.3c05265
SBrH6,2.3425,23,0.75,18.5126,doi.org/10.1007/s11433-023-2185-1
SBrH6,2.3425,16,0.75,18.5126,doi.org/10.1007/s11433-023-2185-1
SBrH6,2.3425,125,0.75,18.5126,doi.org/10.1103/PhysRevB.105.L180508
SBrH6,2.3425,136,0.75,18.5126,doi.org/10.1103/PhysRevB.105.L180508
SBrH6,2.3425,173.9,0.75,18.5126,doi.org/10.1007/s10948-021-06061-z
SBrH6,2.3425,99,0.75,18.5126,doi.org/10.1039/D4CP04217D
SBrH6,2.3425,61,0.75,18.5126,doi.org/10.1039/D4CP04217D
SBrH6,2.3425,9.5,0.75,18.5126,doi.org/10.1039/D4CP04217D
SBrH6,2.3425,63,0.75,18.5126,doi.org/10.1103/PhysRevB.105.L180508
SBrH6,2.3425,10,0.75,18.5126,doi.org/10.1007/s11433-023-2185-1
SBrH6,2.3425,130,0.75,18.5126,doi.org/10.1007/s10948-021-06061-z
Sc2LuH18,2.0757,239,0.8571,14.5989,doi.org/10.34133/2022/9784309
Sc2YbH18,2.0657,196,0.8571,14.4931,doi.org/10.34133/2022/9784309
Sc3LuH24,2.0768,250,0.8571,12.8075,doi.org/10.34133/2022/9784309
Sc3YbH24,2.0693,203,0.8571,12.7281,doi.org/10.34133/2022/9784309
ScC2H8,2.1873,45.9,0.7273,8.5538,doi.org/10.1016/j.mtphys.2024.101443
ScC2H8,2.1873,49,0.7273,8.5538,doi.org/10.1021/acs.jpcc.4c00100
ScC2H8,2.1873,52.5,0.7273,8.5538,doi.org/10.1021/acs.jpcc.4c00100
ScC2H8,2.1873,56,0.7273,8.5538,doi.org/10.1016/j.mtphys.2024.101443
ScC2H8,2.1873,57,0.7273,8.5538,doi.org/10.1021/acs.jpcc.4c00100
ScCaH10,2.03,68,0.8333,5.4597,doi.org/10.1039/D1TC00634G
ScCaH12,2.0543,175,0.8571,4.5498,doi.org/10.1039/D1TC00634G
ScCaH12,2.0543,182,0.8571,4.5498,doi.org/10.1039/D1TC00634G
ScCaH12,2.0543,193,0.8571,4.5498,doi.org/10.1039/D1TC00634G
ScCaH2,1.69,31,0.5,27.2986,doi.org/10.1039/D1TC00634G
ScCaH4,1.86,15,0.6667,13.6493,doi.org/10.1039/D1TC00634G
ScCaH4,1.86,2.4,0.6667,13.6493,doi.org/10.1039/D1TC00634G
ScCaH6,1.945,57.3,0.75,9.0995,doi.org/10.1039/D1TC00634G
ScCaH8,1.996,130,0.8,6.8247,doi.org/10.1039/D1TC00634G
ScCaH8,1.996,212,0.8,6.8247,doi.org/10.1039/D1TC00634G
ScCaH8,1.996,173,0.8,6.8247,doi.org/10.1039/D1TC00634G
SCH2,2.3825,16,0.5,21.8606,doi.org/10.1103/PhysRevB.105.L020510
ScHfH12,2.0757,201.7,0.8571,18.4727,doi.org/10.1016/j.mtphys.2023.101233
ScHfH12,2.0757,201.7,0.8571,18.4727,doi.org/10.1016/j.mtphys.2023.101233
SClH6,2.3675,37,0.75,11.1624,doi.org/10.1007/s11433-023-2185-1
SClH6,2.3675,155.4,0.75,11.1624,doi.org/10.1103/PhysRevB.105.L180508
SClH6,2.3675,26,0.75,11.1624,doi.org/10.1007/s11433-023-2185-1
SClH6,2.3675,138,0.75,11.1624,doi.org/10.1103/PhysRevB.105.L180508
SClH6,2.3675,91,0.75,11.1624,doi.org/10.1039/D4CP04217D
SClH6,2.3675,107,0.75,11.1624,doi.org/10.1103/PhysRevB.105.L180508
SClH6,2.3675,60,0.75,11.1624,doi.org/10.1039/D4CP04217D
SClH6,2.3675,19,0.75,11.1624,doi.org/10.1039/D4CP04217D
SClH6,2.3675,83,0.75,11.1624,doi.org/10.1103/PhysRevB.105.L180508
SClH6,2.3675,19,0.75,11.1624,doi.org/10.1007/s11433-023-2185-1
ScLu2H18,2.0714,247,0.8571,21.7646,doi.org/10.34133/2022/9784309
ScLu3H24,2.0704,271,0.8571,23.556,doi.org/10.34133/2022/9784309
ScLuH12,2.0736,266,0.8571,18.1817,doi.org/10.34133/2022/9784309
ScLuH12,2.0736,231.4,0.8571,18.1817,doi.org/10.1002/pssb.202400240
ScLuH12,2.0736,287.5,0.8571,18.1817,doi.org/10.1002/pssb.202400240
ScNbH12,2.0971,149.3,0.8571,11.3973,doi.org/10.1016/j.mtphys.2023.101233
ScNH,2.2,39,0.3333,58.495,doi.org/10.1103/PhysRevLett.132.166001
ScSiH6,2.0575,106,0.75,12.0769,doi.org/10.1016/j.mtphys.2023.101086
ScSiH6,2.0575,67,0.75,12.0769,doi.org/10.1016/j.mtphys.2023.101086
ScYb2H18,2.0514,160,0.8571,21.5529,doi.org/10.34133/2022/9784309
ScYb3H24,2.0479,150,0.8571,23.3179,doi.org/10.34133/2022/9784309
ScYbH12,2.0586,205.4,0.8571,18.023,doi.org/10.1002/pssb.202400240
ScYbH12,2.0586,191,0.8571,18.023,doi.org/10.34133/2022/9784309
ScYH12,2.07,127,0.8571,11.0666,doi.org/10.1016/j.jallcom.2021.163524
ScYH6,1.9725,32.1,0.75,22.1333,doi.org/10.1002/qua.26459
ScYH6,1.9725,38.6,0.75,22.1333,doi.org/10.1002/qua.26459
ScYH6,1.9725,44.5,0.75,22.1333,doi.org/10.1002/qua.26459
ScYH6,1.9725,49.4,0.75,22.1333,doi.org/10.1002/qua.26459
ScYH6,1.9725,52.9,0.75,22.1333,doi.org/10.1002/qua.26459
ScZrH12,2.0779,207.9,0.8571,11.2583,doi.org/10.1016/j.mtphys.2023.101233
ScZrH12,2.0779,199.3,0.8571,11.2583,doi.org/10.1016/j.mtphys.2023.101233
SFH6,2.47,121,0.75,8.4425,doi.org/10.1007/s11433-023-2185-1
SFH6,2.47,110,0.75,8.4425,doi.org/10.1007/s11433-023-2185-1
SFH6,2.47,103,0.75,8.4425,doi.org/10.1007/s11433-023-2185-1
SIH6,2.305,7,0.75,26.2831,doi.org/10.1039/D4CP04217D
SiS7H24,2.1463,225,0.75,9.4517,doi.org/10.1103/PhysRevResearch.3.043102
SiS7H24,2.1463,205,0.75,9.4517,doi.org/10.1103/PhysRevResearch.3.043102
SKrH3,2.436,123,0.6,38.3128,doi.org/10.1016/j.jallcom.2024.173911
SLaH2,2.02,15,0.5,84.8065,doi.org/10.1039/D3CP03368F
SLaH2,2.02,6.9,0.5,84.8065,doi.org/10.1039/D3CP03368F
SLaH6,2.11,23.6,0.75,28.2688,doi.org/10.1039/D3CP03368F
SnC2H8,2.2418,47.1,0.7273,17.6999,doi.org/10.1038/s41524-024-01490-5
SnC2H8,2.2418,60.5,0.7273,17.6999,doi.org/10.1038/s41524-024-01490-5
SNeH3,2.804,53.4,0.6,17.2751,doi.org/10.1016/j.jallcom.2024.173911
SP2H,2.29,16.3,0.25,93.2619,doi.org/10.1021/acs.jpcc.1c10976
SP2H9,2.23,65.5,0.75,10.3624,doi.org/10.1021/acs.jpcc.1c10976
SPH,2.3233,21.9,0.3333,62.5337,doi.org/10.1021/acs.jpcc.1c10976
SPH2,2.2925,19.5,0.5,31.2669,doi.org/10.1021/acs.jpcc.1c10976
SPH3,2.274,17,0.6,20.8446,doi.org/10.1021/acs.jpcc.1c10976
SPH4,2.2617,63.7,0.6667,15.6334,doi.org/10.1021/acs.jpcc.1c10976
SPH6,2.2463,179,0.75,10.4223,doi.org/10.1039/D4CP04217D
SPH6,2.2463,159.9,0.75,10.4223,doi.org/10.1007/s10948-021-06061-z
SPH6,2.2463,89,0.75,10.4223,doi.org/10.1016/j.commatsci.2021.110282
SPH6,2.2463,81,0.75,10.4223,doi.org/10.1016/j.commatsci.2021.110282
SrBH8,2.059,200,0.8,12.2061,doi.org/10.1103/PhysRevLett.128.047001
SrC2H8,2.15,5.05,0.7273,13.8445,doi.org/10.1088/1674-1056/ad7c31
SrHfH19,2.0976,305,0.9048,13.8946,doi.org/10.1103/PhysRevB.107.L020504
SRnH3,2.356,215,0.6,84.0146,doi.org/10.1016/j.jallcom.2024.173911
SrPH8,2.074,176,0.8,14.7066,doi.org/10.1088/1361-648X/ac9bba
SrSH3,2.026,78.6,0.6,39.5767,doi.org/10.1016/j.cjph.2024.02.025
SrSiH8,2.045,169,0.8,14.3483,doi.org/10.1038/s41524-022-00801-y
SrZrH19,2.099,263,0.9048,9.3381,doi.org/10.1103/PhysRevB.107.L020504
SSbH6,2.2288,115,0.75,25.4332,doi.org/10.1039/D4CP04217D
SSbH6,2.2288,91.1,0.75,25.4332,doi.org/10.1039/D4CP04217D
SSe4H15,2.289,54,0.75,23.0122,doi.org/10.1103/PhysRevB.99.060102
SSeH6,2.2913,181.9,0.75,18.3581,doi.org/10.1007/s10948-021-06061-z
SSnH6,2.2175,79.3,0.75,24.9289,doi.org/10.1039/D4CP04217D
SSnH6,2.2175,94.5,0.75,24.9289,doi.org/10.1039/D4CP04217D
STeH6,2.235,69.2,0.75,26.3988,doi.org/10.1039/D4CP04217D
STeH6,2.235,59.1,0.75,26.3988,doi.org/10.1039/D4CP04217D
Ta3SiH,1.72,0,0.2,566.4038,doi.org/10.1103/PhysRevLett.132.166001
TaLu2H12,2.0293,28,0.8,43.8897,doi.org/10.1103/PhysRevLett.132.166001
TeC2H8,2.2545,19.3,0.7273,18.8023,doi.org/10.1038/s41524-024-01490-5
TeC2H8,2.2545,50,0.7273,18.8023,doi.org/10.1038/s41524-024-01490-5
Th2BH10,2.0492,5.8,0.7692,47.1121,doi.org/10.1016/j.cjph.2024.10.021
ThB3H3,2.0029,22,0.4286,87.457,doi.org/10.1016/j.cjph.2024.10.021
ThBeH6,2.0088,48,0.75,39.8565,doi.org/10.1016/j.fmre.2022.11.010
ThBeH6,2.0088,48,0.75,39.8565,doi.org/10.1016/j.fmre.2022.11.010
ThBeH6,2.0088,31,0.75,39.8565,doi.org/10.1016/j.fmre.2022.11.010
ThBeH6,2.0088,23,0.75,39.8565,doi.org/10.1016/j.fmre.2022.11.010
ThBeH7,2.03,70,0.7778,34.1627,doi.org/10.1088/1361-648X/ac9bba
ThBeH8,2.047,113,0.8,29.8924,doi.org/10.1016/j.fmre.2022.11.010
ThBeH8,2.047,98,0.8,29.8924,doi.org/10.1088/1361-648X/ac9bba
ThBeH8,2.047,53,0.8,29.8924,doi.org/10.1016/j.fmre.2022.11.010
ThBeH8,2.047,27,0.8,29.8924,doi.org/10.1016/j.fmre.2022.11.010
ThBH,1.8467,0.1,0.3333,240.9226,doi.org/10.1016/j.cjph.2024.10.021
ThBH3,1.988,19.3,0.6,80.3075,doi.org/10.1016/j.cjph.2024.10.021
ThBH3,1.988,3.1,0.6,80.3075,doi.org/10.1016/j.cjph.2024.10.021
ThBH4,2.0233,29.7,0.6667,60.2307,doi.org/10.1016/j.cjph.2024.10.021
ThBH5,2.0486,46.7,0.7143,48.1845,doi.org/10.1016/j.cjph.2024.10.021
ThBH7,2.0822,51,0.7778,18.6862,doi.org/10.1103/PhysRevB.110.064105
ThBH7,2.0822,40,0.7778,34.4175,doi.org/10.1016/j.cjph.2024.10.021
ThBH8,2.094,155,0.8,30.1153,doi.org/10.1016/j.fmre.2022.11.010
ThNb2H12,2.06,24.7,0.8,34.5446,doi.org/10.1016/j.jpcs.2022.111193
ThNb2H12,2.06,5,0.8,34.5446,doi.org/10.1016/j.jpcs.2022.111193
ThSiH7,2.0667,61.5,0.7778,36.8658,doi.org/10.1103/PhysRevB.110.024513
TiBH2,1.995,48.6,0.5,29.1057,doi.org/10.1016/j.mtphys.2022.100954
TiMg3H,1.534,21.8,0.2,119.8234,doi.org/10.1002/adfm.202404043
TiPH,1.9767,0,0.3333,78.2153,doi.org/10.1016/j.physleta.2019.126189
TiPH2,2.0325,0.91,0.5,39.1076,doi.org/10.1016/j.physleta.2019.126189
TiPH3,2.066,28.66,0.6,26.0718,doi.org/10.1016/j.physleta.2019.126189
TiPH4,2.0883,47.72,0.6667,19.5538,doi.org/10.1016/j.physleta.2019.126189
TiPH4,2.0883,34.65,0.6667,19.5538,doi.org/10.1016/j.physleta.2019.126189
TiPH4,2.0883,55.06,0.6667,19.5538,doi.org/10.1016/j.physleta.2019.126189
TiPH4,2.0883,49.2,0.6667,19.5538,doi.org/10.1016/j.physleta.2019.126189
TiPH5,2.1043,117.25,0.7143,15.6431,doi.org/10.1016/j.physleta.2019.126189
TiPH6,2.1163,33.59,0.75,13.0359,doi.org/10.1016/j.physleta.2019.126189
TiPH7,2.1256,42.88,0.7778,11.1736,doi.org/10.1016/j.physleta.2019.126189
TiPH8,2.133,56.8,0.8,9.7769,doi.org/10.1016/j.physleta.2019.126189
TiSH,2.1067,48,0.3333,79.2927,doi.org/10.1103/PhysRevB.109.174516
TiSH,2.1067,9.24,0.3333,79.2927,doi.org/10.1088/1361-648X/ad44fd
TlC2H8,2.2109,15.3,0.7273,28.3237,doi.org/10.1038/s41524-024-01490-5
TlC2H8,2.2109,26.5,0.7273,28.3237,doi.org/10.1038/s41524-024-01490-5
TlC2H8,2.2109,30,0.7273,28.3237,doi.org/10.1038/s41524-024-01490-5
TlHf3H,1.544,2,0.2,733.9782,doi.org/10.1103/PhysRevLett.132.166001
TlN2H8,2.3,27,0.7273,28.8187,doi.org/10.1063/5.0127365
TlN2H8,2.3,69,0.7273,28.8187,doi.org/10.1063/5.0127365
TlSH3,2.16,96.7,0.6,78.1878,doi.org/10.1016/j.cjph.2024.02.025
TlSH3,2.16,81.1,0.6,78.1878,doi.org/10.1016/j.cjph.2024.02.025
W2B2H,2.2,18.67,0.2,386.2103,doi.org/10.1103/PhysRevMaterials.7.114802
WSH,2.38,23.1,0.3333,214.1865,doi.org/10.1007/s10948-024-06720-x
WSH,2.38,12.2,0.3333,214.1865,doi.org/10.1088/2053-1583/ad2523
XeSH3,2.356,178,0.6,54.0179,doi.org/10.1016/j.jallcom.2024.173911
XeSH3,2.356,89,0.6,54.0179,doi.org/10.1007/s11467-018-0818-7
Y2LuH18,2.0624,240,0.8571,19.4435,doi.org/10.34133/2022/9784309
Y2ThH12,2.0093,27,0.8,33.8833,doi.org/10.1021/acsomega.4c07199
Y2ThH12,2.0093,16,0.8,33.8833,doi.org/10.1021/acsomega.4c07199
Y2ThH18,2.0638,211,0.8571,22.5888,doi.org/10.1103/PhysRevB.109.224505
Y2YbH18,2.0524,221,0.8571,19.3376,doi.org/10.34133/2022/9784309
Y2ZrH18,2.0652,169.7,0.8571,14.8278,doi.org/10.1039/D2CP05850B
Y3CaH24,2.0521,242,0.8571,12.6817,doi.org/10.1103/PhysRevB.106.014521
Y3LuH24,2.0618,283,0.8571,18.2576,doi.org/10.34133/2022/9784309
Y3YbH24,2.0543,222,0.8571,18.1782,doi.org/10.34133/2022/9784309
Y3ZrH24,2.0639,184.92,0.8571,14.7959,doi.org/10.1039/D2CP05850B
Yb2LuH18,2.0471,182,0.8571,28.7186,doi.org/10.34133/2022/9784309
Yb3LuH24,2.0446,162,0.8571,28.6921,doi.org/10.34133/2022/9784309
YBaH8,1.971,49.6,0.8,28.0551,doi.org/10.1016/j.physleta.2020.127109
YBaH8,1.971,89.4,0.8,28.0547,doi.org/10.1016/j.physleta.2020.127109
YBeH8,2.039,3,0.8,12.1426,doi.org/10.1063/5.0195828
